pasture,year,natgdiv,nonngdiv,invdiv,natfdiv,nonnfdiv,shrubdiv,treediv,sedgediv,ferndiv,horsediv,rushdiv,totaldiv
1,2012,1,13,2,2,6,3,4,0,1,0,1,33
1,2013,4,9,2,2,7,3,2,0,1,1,0,31
1,2014,2,11,1,1,8,4,1,0,0,0,1,29
1,2017,3,14,3,9,17,5,5,0,0,0,0,56
1,2018,2,13,2,7,14,3,4,3,1,0,3,52
3,2012,1,11,3,0,5,3,1,0,0,0,1,25
3,2013,2,13,3,0,5,2,3,0,1,0,0,29
3,2014,2,10,3,1,7,3,4,1,0,0,1,32
3,2016,2,12,3,5,13,5,4,0,2,0,0,46
3,2017,2,11,3,6,13,7,4,0,0,0,0,46
3,2018,3,12,3,11,17,5,4,1,0,0,3,59
4,2012,1,12,3,1,6,3,1,0,0,0,1,28
4,2013,2,13,0,2,3,2,0,0,1,0,0,23
4,2014,2,9,3,0,9,3,3,0,0,0,1,30
4,2016,1,9,1,3,8,3,0,0,0,0,1,26
4,2017,1,8,0,2,12,3,0,0,0,0,0,26
4,2018,2,15,0,4,13,3,0,0,0,0,2,39
5,2012,3,13,2,1,6,4,2,1,1,0,1,34
5,2013,2,12,1,1,5,4,2,0,1,0,0,28
5,2014,5,12,2,3,7,5,3,0,1,0,1,39
5,2016,4,14,2,6,14,3,4,1,1,1,1,51
5,2017,2,14,3,9,12,7,3,0,0,0,0,50
5,2018,1,10,1,9,14,8,4,2,2,0,3,54
7,2012,3,9,2,0,4,3,1,0,0,0,1,23
7,2013,3,13,3,2,5,3,1,0,1,0,0,31
7,2014,2,8,1,0,6,3,0,0,0,0,1,21
7,2016,3,12,3,5,17,3,1,0,1,0,0,45
7,2017,4,11,2,5,16,6,3,0,0,0,0,47
7,2018,3,12,3,10,19,5,3,1,0,0,3,59
8,2012,1,11,2,0,3,3,1,0,0,0,1,22
8,2013,5,12,2,0,8,3,1,0,1,1,1,34
8,2014,4,10,2,1,7,3,1,0,0,0,1,29
8,2016,2,13,2,5,11,6,4,2,0,0,0,45
8,2017,4,10,2,4,15,4,3,0,0,0,0,42
8,2018,5,15,2,6,19,4,3,0,0,0,1,55
9,2012,1,11,3,0,3,3,1,0,0,0,1,23
9,2013,3,16,2,0,7,4,4,0,1,0,0,37
9,2014,4,8,4,2,7,2,0,1,0,1,1,30
9,2016,2,11,3,3,15,5,2,1,0,0,1,43
9,2017,2,10,2,5,7,4,3,0,0,0,0,33
9,2018,2,7,2,2,7,3,3,1,0,0,1,28
10,2012,2,10,2,0,5,3,2,0,1,0,1,26
10,2013,3,8,3,1,4,3,1,1,0,1,0,25
10,2014,3,7,2,5,6,0,2,0,1,0,1,27
10,2016,2,10,2,14,10,4,3,0,0,0,1,46
10,2017,3,13,3,17,10,5,4,0,0,0,0,55
10,2018,3,9,3,14,11,5,3,0,1,0,1,50
11,2012,2,8,3,0,6,3,1,0,1,0,1,25
11,2013,2,11,3,0,4,3,1,1,0,1,0,26
11,2014,3,8,4,1,4,2,2,0,1,0,1,26
11,2016,3,11,5,3,10,4,0,0,1,0,0,37
11,2017,3,13,3,5,12,4,1,0,0,0,0,41
11,2018,3,7,2,3,8,4,1,0,1,0,2,31
14,2012,1,10,4,0,6,4,4,0,1,0,1,31
14,2013,4,11,3,4,5,4,0,1,1,1,0,34
14,2014,3,7,2,8,9,4,5,0,1,0,1,40
14,2016,3,8,3,7,13,4,3,0,0,0,0,41
14,2017,4,8,3,4,12,5,3,0,0,0,0,39
14,2018,4,6,2,7,11,5,4,0,0,0,2,41
15,2012,0,13,5,0,6,4,0,0,1,0,1,30
15,2013,3,12,3,2,7,4,1,1,0,1,0,34
15,2014,1,7,5,5,3,7,1,0,1,0,0,30
15,2016,2,9,3,5,10,3,2,0,0,0,1,35
15,2017,1,8,3,5,11,6,2,0,0,0,0,36
15,2018,1,9,3,8,12,5,2,0,1,0,1,42
17,2012,0,11,4,0,5,4,3,0,1,0,1,29
17,2013,4,11,2,3,6,3,1,1,1,1,0,33
17,2014,2,5,0,3,5,4,3,0,1,0,0,23
17,2016,3,12,2,4,18,4,1,0,0,0,0,44
17,2017,2,8,2,9,9,4,2,0,0,0,0,36
17,2018,2,7,2,5,9,3,1,0,0,0,0,29
18,2012,0,13,3,1,7,3,2,0,1,1,1,32
18,2013,3,12,3,4,6,3,1,1,0,0,0,33
18,2014,3,7,3,1,3,2,3,0,1,0,1,24
18,2016,3,15,4,4,11,3,1,0,0,1,1,43
18,2017,2,10,2,3,9,3,2,0,0,0,0,31
18,2018,2,14,3,2,9,3,2,0,0,1,2,38
19,2012,0,13,5,1,7,3,1,0,0,0,1,31
19,2013,1,11,3,3,5,2,1,1,0,0,0,27
19,2014,4,10,3,5,7,3,0,0,0,0,0,32
19,2016,1,11,5,3,10,3,0,0,0,0,0,33
19,2017,1,10,4,1,10,3,1,0,0,0,0,30
19,2018,2,13,4,7,12,3,4,1,0,0,1,47
20,2012,0,6,5,0,5,5,1,0,1,0,0,23
20,2013,0,4,4,0,5,4,2,0,0,0,0,19
20,2014,1,4,4,1,7,5,3,0,1,0,0,26
20,2016,1,4,3,4,6,8,3,1,1,0,0,31
20,2017,2,12,5,8,10,8,3,0,0,0,0,48
20,2018,2,9,3,8,14,9,3,0,1,0,0,49
21,2012,0,14,6,1,6,3,2,1,1,1,1,36
21,2013,0,8,3,1,7,3,2,0,0,0,0,24
21,2014,3,10,2,3,13,7,3,1,0,1,1,44
21,2016,3,12,4,5,13,4,3,1,1,1,1,48
21,2017,1,11,4,12,14,5,2,0,0,0,0,49
21,2018,3,13,5,14,18,8,2,3,1,0,4,71
22,2012,1,13,5,1,6,3,2,0,0,0,1,32
22,2013,3,11,3,0,6,3,1,1,1,0,0,29
22,2014,3,13,7,4,9,4,3,0,0,0,1,44
22,2016,1,14,6,8,8,4,3,0,0,0,1,45
22,2017,2,13,4,4,13,3,3,0,0,0,0,42
22,2018,2,11,7,11,11,6,3,1,0,0,0,52
23,2012,2,15,3,0,6,2,0,1,0,0,1,30
23,2013,2,7,3,0,1,2,1,0,1,0,0,17
23,2014,3,9,4,5,9,3,1,0,0,0,1,35
23,2016,1,11,6,2,8,1,1,0,0,0,1,31
23,2017,2,11,4,6,14,3,1,0,0,0,0,41
23,2018,1,7,5,4,9,2,2,0,0,0,2,32
24,2013,1,11,5,0,7,4,0,1,0,0,0,29
24,2014,1,9,4,5,9,9,0,0,0,0,0,37
24,2016,1,8,5,1,7,2,0,0,0,0,1,25
24,2017,1,8,5,4,13,5,0,0,0,0,0,36
24,2018,1,8,5,4,8,4,0,0,0,0,1,31
