temp.max,temp.min,rain.in,date
NA,NA,NA,2010-09-15
63.52,51.61666666666667,0.39,2010-10-15
60.663333333333334,47.68333333333334,2.0100000000000002,2010-11-15
55.876666666666665,47.486666666666665,10.82,2010-12-15
60.13870967741936,46.28709677419355,3.81,2011-01-15
56.31785714285714,43.86785714285714,5.52,2011-02-15
56.064516129032256,46.351612903225806,9.11,2011-03-15
56.52,46.36,0.41000000000000003,2011-04-15
56.803225806451614,47.83225806451613,1.31,2011-05-15
58.776666666666664,50.18,5.38,2011-06-15
61.74516129032258,51.60967741935484,0.41,2011-07-15
61.08064516129032,51.96774193548387,0.2,2011-08-15
66.04666666666667,52.4,0.67,2011-09-15
66,53.73225806451613,5.51,2011-10-15
58.89333333333333,47.46,2.71,2011-11-15
57.193548387096776,45.112903225806456,0.3,2011-12-15
59.906451612903226,46.22258064516129,3.98,2012-01-15
56.89310344827586,45.86896551724138,0.7100000000000001,2012-02-15
55.95161290322581,44.76129032258064,5.9,2012-03-15
57.275862068965516,47.282758620689656,3.75,2012-04-15
58.07741935483871,47.60967741935484,0.02,2012-05-15
61.663333333333334,49.78333333333333,0.51,2012-06-15
61.42258064516129,51.016129032258064,0.15,2012-07-15
62.50967741935484,51.14193548387097,0.3,2012-08-15
61.06666666666667,49.77,0.32,2012-09-15
67.06774193548387,53.71612903225807,1.13,2012-10-15
63.54666666666667,51.56666666666667,12.93,2012-11-15
55.593548387096774,46.57419354838709,20.07,2012-12-15
56.80967741935484,45.00322580645161,0.64,2013-01-15
55.40714285714286,43.4,1.29,2013-02-15
56.75806451612903,45.0258064516129,2.07,2013-03-15
57.82666666666667,46.653333333333336,0.9,2013-04-15
60.36451612903226,49.83870967741935,0.16,2013-05-15
63.00666666666667,51.99,0.05,2013-06-15
62.99354838709677,51.848387096774196,0.33,2013-07-15
65.60322580645162,54.487096774193546,0.11,2013-08-15
66.81333333333333,55.79666666666667,0.38,2013-09-15
63.30967741935484,49.89032258064516,0.07,2013-10-15
61.31666666666667,48.78,1.4200000000000002,2013-11-15
60.41612903225806,45.63225806451613,0.47000000000000003,2013-12-15
64.46129032258065,49.78709677419355,0.01,2014-01-15
57.042857142857144,47.175,8.25,2014-02-15
60.99677419354839,49.47096774193548,4.97,2014-03-15
59.623333333333335,48.07666666666667,3.28,2014-04-15
62.72258064516129,51.751612903225805,0.04,2014-05-15
62.86333333333334,50.53666666666667,0.04,2014-06-15
66.68709677419355,54.41612903225806,0.42,2014-07-15
66.62903225806451,55.94838709677419,0.28,2014-08-15
67.35666666666667,56.29666666666667,0.64,2014-09-15
69.66774193548387,56.093548387096774,0.43,2014-10-15
64.57666666666667,51.75666666666667,3.27,2014-11-15
59.35806451612903,50.903225806451616,27.51,2014-12-15
63.81290322580645,49.383870967741935,0.06,2015-01-15
63.01428571428571,51.06071428571428,3.9299999999999997,2015-02-15
62.67741935483871,49.406451612903226,0,2015-03-15
58.3,46.91,0,2015-04-15
57.04516129032258,49.86129032258064,0,2015-05-15
64.16333333333333,52.11,0,2015-06-15
67.9258064516129,56.774193548387096,0.07,2015-07-15
70.40967741935484,57.97741935483871,0.26,2015-08-15
70.82000000000001,56.52,0.1,2015-09-15
68.82903225806452,55.64193548387097,0.11,2015-10-15
60.52,47.29333333333334,4.71,2015-11-15
55.751612903225805,46.73225806451613,4.55,2015-12-15
58.061290322580646,49.064516129032256,13.46,2016-01-15
65.36206896551724,49.88965517241379,0.9,2016-02-15
NA,NA,NA,2016-03-15
64.32692307692308,53.34615384615385,0.1,2016-08-15
67.46206896551725,53.16551724137931,0.22,2016-09-15
65.48064516129033,53.94193548387097,2.2800000000000002,2016-10-15
62.03666666666667,51.04333333333334,3.48,2016-11-15
56.84137931034483,46.293103448275865,7.800000000000001,2016-12-15
NA,NA,NA,2017-01-15
NA,NA,NA,2017-02-15
60.1,48.67142857142857,6.39,2017-03-15
60.20333333333333,48.53666666666667,4.06,2017-04-15
59.28387096774193,48.87096774193549,0.29,2017-05-15
62.75666666666667,52.28333333333333,0.31,2017-06-15
NA,NA,NA,2017-07-15
NA,NA,NA,2017-10-15
65.4,49.376666666666665,3.77,2017-11-15
64.40322580645162,45.16774193548387,0.17,2017-12-15
62.564516129032256,47.325806451612905,5.99,2018-01-15
62.30357142857143,44.49285714285714,0.33999999999999997,2018-02-15
60.26774193548387,43.70967741935484,4.9399999999999995,2018-03-15
61.11666666666667,45.79333333333334,2.63,2018-04-15
61.37096774193549,49.15806451612903,0.22,2018-05-15
65.45,49.79666666666667,0.04,2018-06-15
70.1741935483871,52.84193548387097,0,2018-07-15
68.86774193548388,52.41290322580645,0.02,2018-08-15
67.62,50.9,0,2018-09-15
69.08387096774193,50.44193548387097,0.08,2018-10-15
66.65333333333334,49.21,3.23,2018-11-15
NA,NA,NA,2018-12-15
