field,date.time,area,activity,herd,n,weight,season,date,time,hour
1,2018-04-13T10:33:39Z,Between Ralphs and Pond,Move In,Bulls,4,4583,growing,2018-04-13,10:33,10
1,2018-04-14T11:59:17Z,Between Ralphs and Pond,Move Out,Bulls,4,4583,growing,2018-04-14,11:59,11
5,2018-04-14T11:59:17Z,Roadside 5,Move In,Bulls,4,4583,growing,2018-04-14,11:59,11
5,2018-04-15T10:39:23Z,Roadside 5,Move Out,Bulls,4,4583,growing,2018-04-15,10:39,10
7,2018-04-15T10:39:23Z,Subdivision 4,Move In,Bulls,4,4583,growing,2018-04-15,10:39,10
10,2018-04-16T07:49:25Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-04-16,07:49,07
7,2018-04-16T07:49:25Z,Subdivision 4,Move Out,Bulls,4,4583,growing,2018-04-16,07:49,07
10,2018-04-17T09:59:00Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-04-17,09:59,09
10,2018-04-17T09:59:00Z,Subdivision 3,Move In,Bulls,4,4583,growing,2018-04-17,09:59,09
10,2018-04-18T17:59:00Z,Subdivision 3,Move Out,Bulls,4,4583,growing,2018-04-18,17:59,17
5,2018-04-19T08:51:56Z,Subdivision 1,Move In,Bulls,4,4583,growing,2018-04-19,08:51,08
5,2018-04-20T08:57:54Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2018-04-20,08:57,08
9,2018-04-20T08:57:54Z,9,Move In,Bulls,4,4583,growing,2018-04-20,08:57,08
12A,2018-04-23T07:02:54Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-04-23,07:02,07
9,2018-04-23T07:02:54Z,9,Move Out,Bulls,4,4583,growing,2018-04-23,07:02,07
12A,2018-04-24T07:30:03Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-04-24,07:30,07
12B,2018-04-24T07:30:03Z,12b,Move In,Bulls,4,4583,growing,2018-04-24,07:30,07
12B,2018-04-26T12:31:58Z,12b,Move Out,Bulls,4,4583,growing,2018-04-26,12:31,12
23,2018-05-02T15:36:52Z,23,Move In,Bulls,4,4583,growing,2018-05-02,15:36,15
23,2018-06-19T13:45:00Z,23,Move Out,Bulls,4,4583,growing,2018-06-19,13:45,13
49,2018-10-09T11:10:00Z,Subdivision 1,Move In,Bulls,6,7783,dormant,2018-10-09,11:10,11
26,2017-11-15T11:09:16Z,26,Move In,Cows,37,52730,growing,2017-11-15,11:09,11
26,2017-11-18T08:09:56Z,26,Move Out,Cows,37,52730,growing,2017-11-18,08:09,08
28,2017-11-18T08:09:56Z,28,Move In,Cows,37,52730,growing,2017-11-18,08:09,08
28,2017-11-21T08:14:29Z,28,Move Out,Cows,37,52730,growing,2017-11-21,08:14,08
31,2017-11-21T14:21:02Z,31,Move In,Cows,37,52730,growing,2017-11-21,14:21,14
30B,2017-11-23T14:22:29Z,30b,Move In,Cows,37,52730,growing,2017-11-23,14:22,14
31,2017-11-23T14:22:29Z,31,Move Out,Cows,37,52730,growing,2017-11-23,14:22,14
30B,2017-11-28T14:30:34Z,30b,Move Out,Cows,37,52730,growing,2017-11-28,14:30,14
34,2017-11-28T14:30:34Z,Oak Hill Road Top,Move In,Cows,37,52730,growing,2017-11-28,14:30,14
34,2017-11-29T14:36:52Z,Oak Hill Road Top,Move Out,Cows,37,52730,growing,2017-11-29,14:36,14
35,2017-11-29T14:36:52Z,Oak Hill Draw,Move In,Cows,37,52730,growing,2017-11-29,14:36,14
35,2017-12-02T14:38:38Z,Oak Hill Draw,Move Out,Cows,37,52730,growing,2017-12-02,14:38,14
36,2017-12-02T14:38:38Z,Oak Hill,Move In,Cows,37,52730,growing,2017-12-02,14:38,14
36,2017-12-04T07:41:57Z,Oak Hill,Move Out,Cows,37,52730,growing,2017-12-04,07:41,07
37A,2017-12-04T07:41:57Z,Subdivision 4,Move In,Cows,37,52730,growing,2017-12-04,07:41,07
37A,2017-12-06T08:01:55Z,Subdivision 1,Move In,Cows,37,52730,growing,2017-12-06,08:01,08
37A,2017-12-06T08:01:55Z,Subdivision 4,Move Out,Cows,37,52730,growing,2017-12-06,08:01,08
37A,2017-12-07T17:03:06Z,Subdivision 1,Move Out,Cows,37,52730,growing,2017-12-07,17:03,17
37A,2017-12-07T17:03:06Z,Subdivision 2,Move In,Cows,37,52730,growing,2017-12-07,17:03,17
37A,2017-12-09T08:05:00Z,Subdivision 2,Move Out,Cows,37,52730,growing,2017-12-09,08:05,08
37A,2017-12-09T08:05:00Z,Subdivision 3,Move In,Cows,37,52730,growing,2017-12-09,08:05,08
12B,2017-12-11T11:22:36Z,12b,Move In,Cows,37,52730,growing,2017-12-11,11:22,11
37A,2017-12-11T11:22:36Z,Subdivision 3,Move Out,Cows,37,52730,growing,2017-12-11,11:22,11
12B,2017-12-15T11:25:31Z,12b,Move Out,Cows,37,52730,growing,2017-12-15,11:25,11
3,2017-12-16T12:26:24Z,3,Move In,Cows,37,52730,growing,2017-12-16,12:26,12
2A,2017-12-19T07:54:11Z,2a,Move In,Cows,37,52730,growing,2017-12-19,07:54,07
3,2017-12-19T07:54:11Z,3,Move Out,Cows,37,52730,growing,2017-12-19,07:54,07
15,2017-12-21T08:58:24Z,15,Move In,Cows,37,52730,growing,2017-12-21,08:58,08
2A,2017-12-21T08:58:24Z,2a,Move Out,Cows,37,52730,growing,2017-12-21,08:58,08
15,2017-12-22T05:01:21Z,15,Move Out,Cows,37,52730,growing,2017-12-22,05:01,05
11,2017-12-24T17:05:56Z,Subdivision 1,Move In,Cows,37,52730,growing,2017-12-24,17:05,17
11,2017-12-26T17:06:45Z,Subdivision 1,Move Out,Cows,37,52730,growing,2017-12-26,17:06,17
8,2017-12-26T17:06:45Z,Subdivision 2,Move In,Cows,37,52730,growing,2017-12-26,17:06,17
8,2017-12-28T17:07:12Z,Subdivision 1,Move In,Cows,37,52730,growing,2017-12-28,17:07,17
8,2017-12-28T17:07:12Z,Subdivision 2,Move Out,Cows,37,52730,growing,2017-12-28,17:07,17
10,2017-12-29T17:07:31Z,10,Move In,Cows,37,52730,growing,2017-12-29,17:07,17
8,2017-12-29T17:07:31Z,Subdivision 1,Move Out,Cows,37,52730,growing,2017-12-29,17:07,17
10,2017-12-30T17:08:30Z,10,Move Out,Cows,37,52730,growing,2017-12-30,17:08,17
5,2017-12-30T17:08:30Z,Subdivision 1,Move In,Cows,37,52730,growing,2017-12-30,17:08,17
5,2017-12-31T11:01:16Z,Subdivision 1,Move Out,Cows,37,52730,growing,2017-12-31,11:01,11
6A,2017-12-31T11:01:16Z,6a,Move In,Cows,37,52730,growing,2017-12-31,11:01,11
6A,2018-01-02T11:05:13Z,6a,Move Out,Cows,37,52730,growing,2018-01-02,11:05,11
2B,2018-01-05T14:00:15Z,Annie Pond Field,Move In,Cows,37,52730,growing,2018-01-05,14:00,14
2B,2018-01-06T07:00:28Z,Annie's Pond Across Driveway,Move In,Cows,37,52730,growing,2018-01-06,07:00,07
2B,2018-01-06T07:00:28Z,Annie Pond Field,Move Out,Cows,37,52730,growing,2018-01-06,07:00,07
1,2018-01-06T12:00:28Z,1,Move In,Cows,37,52730,growing,2018-01-06,12:00,12
2B,2018-01-06T12:00:28Z,Annie's Pond Across Driveway,Move Out,Cows,37,52730,growing,2018-01-06,12:00,12
1,2018-01-07T08:00:41Z,1,Move Out,Cows,37,52730,growing,2018-01-07,08:00,08
5,2018-01-07T08:00:41Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-01-07,08:00,08
5,2018-01-08T07:47:47Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-01-08,07:47,07
6A,2018-01-08T07:47:47Z,Subdivision 1,Move In,Cows,37,52730,growing,2018-01-08,07:47,07
6A,2018-01-09T09:29:17Z,Subdivision 1,Move Out,Cows,37,52730,growing,2018-01-09,09:29,09
6B,2018-01-09T09:29:17Z,6b,Move In,Cows,37,52730,growing,2018-01-09,09:29,09
6B,2018-01-11T08:03:40Z,6b,Move Out,Cows,37,52730,growing,2018-01-11,08:03,08
7,2018-01-11T08:03:40Z,Subdivision 1,Move In,Cows,37,52730,growing,2018-01-11,08:03,08
7,2018-01-12T08:05:31Z,Subdivision 1,Move Out,Cows,37,52730,growing,2018-01-12,08:05,08
7,2018-01-12T08:05:31Z,Subdivision 3,Move In,Cows,37,52730,growing,2018-01-12,08:05,08
7,2018-01-14T11:08:04Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-01-14,11:08,11
7,2018-01-14T11:08:04Z,Subdivision 3,Move Out,Cows,37,52730,growing,2018-01-14,11:08,11
7,2018-01-15T11:08:32Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-01-15,11:08,11
7,2018-01-15T11:08:32Z,Subdivision 4,Move In,Cows,37,52730,growing,2018-01-15,11:08,11
55,2018-01-16T11:12:56Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-01-16,11:12,11
7,2018-01-16T11:12:56Z,Subdivision 4,Move Out,Cows,37,52730,growing,2018-01-16,11:12,11
52,2018-01-17T16:15:13Z,Subdivision 3,Move In,Cows,37,52730,growing,2018-01-17,16:15,16
55,2018-01-17T16:15:13Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-01-17,16:15,16
53,2018-01-18T07:15:50Z,Subdivision 5,Move In,Cows,37,52730,growing,2018-01-18,07:15,07
52,2018-01-19T07:15:50Z,Subdivision 3,Move Out,Cows,37,52730,growing,2018-01-18,07:15,07
52,2018-01-19T07:18:28Z,Subdivision 5,Move In,Cows,37,52730,growing,2018-01-19,07:18,07
53,2018-01-19T07:18:28Z,Subdivision 5,Move Out,Cows,37,52730,growing,2018-01-19,07:18,07
50,2018-01-19T16:56:59Z,Subdivision 6,Move In,Cows,37,52730,growing,2018-01-19,16:56,16
52,2018-01-19T16:56:59Z,Subdivision 5,Move Out,Cows,37,52730,growing,2018-01-19,16:56,16
50,2018-01-20T08:57:51Z,Subdivision 5,Move In,Cows,37,52730,growing,2018-01-20,08:57,08
50,2018-01-20T08:57:51Z,Subdivision 6,Move Out,Cows,37,52730,growing,2018-01-20,08:57,08
50,2018-01-21T08:58:15Z,Subdivision 4,Move In,Cows,37,52730,growing,2018-01-21,08:58,08
50,2018-01-21T08:58:15Z,Subdivision 5,Move Out,Cows,37,52730,growing,2018-01-21,08:58,08
50,2018-01-22T08:57:40Z,Subdivision 4,Move Out,Cows,37,52730,growing,2018-01-22,08:57,08
50,2018-01-22T08:58:30Z,Subdivision 3,Move In,Cows,37,52730,growing,2018-01-22,08:58,08
50,2018-01-22T16:58:50Z,Subdivision 3,Move Out,Cows,37,52730,growing,2018-01-22,16:58,16
56,2018-01-22T16:58:50Z,Bull3,Move In,Cows,37,52730,growing,2018-01-22,16:58,16
56,2018-01-23T13:04:23Z,Bull 3,Move In,Cows,37,52730,growing,2018-01-23,13:04,13
56,2018-01-23T13:04:23Z,Bull3,Move Out,Cows,37,52730,growing,2018-01-23,13:04,13
56,2018-01-24T13:05:37Z,Bull 3,Move Out,Cows,37,52730,growing,2018-01-24,13:05,13
56,2018-01-24T13:05:37Z,Bull1,Move In,Cows,37,52730,growing,2018-01-24,13:05,13
52,2018-01-25T12:19:25Z,Subdivision 4,Move In,Cows,37,52730,growing,2018-01-25,12:19,12
56,2018-01-25T12:19:25Z,Bull1,Move Out,Cows,37,52730,growing,2018-01-25,12:19,12
48,2018-01-26T21:22:11Z,Subdivision 1,Move In,Cows,37,52730,growing,2018-01-26,21:22,21
52,2018-01-26T21:22:11Z,Subdivision 4,Move Out,Cows,37,52730,growing,2018-01-26,21:22,21
43,2018-01-27T07:37:47Z,Subdivision 5,Move In,Cows,37,52730,growing,2018-01-27,07:37,07
43,2018-01-27T19:30:51Z,Subdivision 5,Move Out,Cows,37,52730,growing,2018-01-27,19:30,19
48,2018-01-27T19:44:23Z,Subdivision 1,Move Out,Cows,37,52730,growing,2018-01-27,07:37,07
48,2018-01-27T19:44:23Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-01-27,19:44,19
48,2018-01-28T07:45:09Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-01-28,07:45,07
49,2018-01-28T07:45:09Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-01-28,07:45,07
43,2018-01-28T17:48:15Z,Subdivision 1,Move In,Cows,37,52730,growing,2018-01-28,17:48,17
49,2018-01-28T17:48:15Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-01-28,17:48,17
43,2018-01-29T07:48:49Z,Subdivision 1,Move Out,Cows,37,52730,growing,2018-01-29,07:48,07
43,2018-01-29T07:48:49Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-01-29,07:48,07
43,2018-01-30T16:57:25Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-01-30,16:57,16
43,2018-01-30T16:57:25Z,Subdivision 3,Move In,Cows,37,52730,growing,2018-01-30,16:57,16
42,2018-01-31T14:58:59Z,42,Move In,Cows,37,52730,growing,2018-01-31,14:58,14
43,2018-01-31T14:58:59Z,Subdivision 3,Move Out,Cows,37,52730,growing,2018-01-31,14:58,14
42,2018-02-01T07:01:28Z,42,Move Out,Cows,37,52730,growing,2018-02-01,07:01,07
43,2018-02-01T07:01:28Z,Subdivision 4,Move In,Cows,37,52730,growing,2018-02-01,07:01,07
43,2018-02-01T13:02:53Z,Subdivision 4,Move Out,Cows,37,52730,growing,2018-02-01,13:02,13
44,2018-02-01T13:02:53Z,44,Move In,Cows,37,52730,growing,2018-02-01,13:02,13
44,2018-02-02T12:06:56Z,44,Move Out,Cows,37,52730,growing,2018-02-02,12:06,12
47,2018-02-02T12:06:56Z,Subdivision 1,Move In,Cows,37,52730,growing,2018-02-02,12:06,12
47,2018-02-03T17:07:35Z,Subdivision 1,Move Out,Cows,37,52730,growing,2018-02-03,17:07,17
51,2018-02-03T17:07:35Z,51,Move In,Cows,37,52730,growing,2018-02-03,17:07,17
46,2018-02-04T17:08:13Z,46,Move In,Cows,37,52730,growing,2018-02-04,17:08,17
51,2018-02-04T17:08:13Z,51,Move Out,Cows,37,52730,growing,2018-02-04,17:08,17
46,2018-02-05T15:09:00Z,46,Move Out,Cows,37,52730,growing,2018-02-05,15:09,15
47,2018-02-05T15:09:00Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-02-05,15:09,15
45,2018-02-06T08:09:40Z,45,Move In,Cows,37,52730,growing,2018-02-06,08:09,08
47,2018-02-06T08:09:40Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-02-06,08:09,08
40,2018-02-07T08:29:38Z,40,Move In,Cows,37,52730,growing,2018-02-07,08:29,08
45,2018-02-07T08:29:38Z,45,Move Out,Cows,37,52730,growing,2018-02-07,08:29,08
40,2018-02-09T11:02:11Z,40,Move Out,Cows,37,52730,growing,2018-02-09,11:02,11
41,2018-02-09T11:02:11Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-02-09,11:02,11
41,2018-02-10T08:08:30Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-02-10,08:08,08
41,2018-02-10T08:08:30Z,Subdivision 3,Move In,Cows,37,52730,growing,2018-02-10,08:08,08
41,2018-02-11T08:08:51Z,Subdivision 1,Move In,Cows,37,52730,growing,2018-02-11,08:08,08
41,2018-02-11T08:08:51Z,Subdivision 3,Move Out,Cows,37,52730,growing,2018-02-11,08:08,08
41,2018-02-12T08:09:21Z,Subdivision 1,Move Out,Cows,37,52730,growing,2018-02-12,08:09,08
66,2018-02-12T08:09:21Z,66,Move In,Cows,37,52730,growing,2018-02-12,08:09,08
65,2018-02-13T08:10:00Z,65,Move In,Cows,37,52730,growing,2018-02-13,08:10,08
66,2018-02-13T08:10:00Z,66,Move Out,Cows,37,52730,growing,2018-02-13,08:10,08
65,2018-02-17T08:11:54Z,65,Move Out,Cows,37,52730,growing,2018-02-17,08:11,08
67,2018-02-17T08:11:54Z,67,Move In,Cows,37,52730,growing,2018-02-17,08:11,08
67,2018-02-17T20:12:48Z,67,Move Out,Cows,37,52730,growing,2018-02-17,20:12,20
68,2018-02-17T20:12:48Z,68,Move In,Cows,37,52730,growing,2018-02-17,20:12,20
63,2018-02-18T08:13:28Z,63,Move In,Cows,37,52730,growing,2018-02-18,08:13,08
68,2018-02-18T08:13:28Z,68,Move Out,Cows,37,52730,growing,2018-02-18,08:13,08
62,2018-02-18T17:14:10Z,62,Move In,Cows,37,52730,growing,2018-02-18,17:14,17
63,2018-02-18T17:14:10Z,63,Move Out,Cows,37,52730,growing,2018-02-18,17:14,17
62,2018-02-19T12:14:32Z,62,Move Out,Cows,37,52730,growing,2018-02-19,12:14,12
64,2018-02-19T12:14:32Z,64,Move In,Cows,37,52730,growing,2018-02-19,12:14,12
37B,2018-02-20T08:17:49Z,Subdivision 2,Move In,Cows,37,52730,growing,2018-02-20,08:17,08
64,2018-02-20T08:17:49Z,64,Move Out,Cows,37,52730,growing,2018-02-20,08:17,08
37B,2018-02-21T08:18:19Z,Subdivision 2,Move Out,Cows,37,52730,growing,2018-02-21,08:18,08
37B,2018-02-21T08:18:19Z,Subdivision 3,Move In,Cows,37,52730,growing,2018-02-21,08:18,08
37B,2018-02-21T18:00:53Z,Subdivision 3,Move Out,Cows,37,52730,growing,2018-02-21,18:00,18
37B,2018-02-21T18:00:53Z,Subdivision 4,Move In,Cows,37,52730,growing,2018-02-21,18:00,18
37B,2018-02-23T07:23:13Z,Subdivision 4,Move Out,Cows,37,52730,growing,2018-02-23,07:23,07
38A,2018-02-23T07:23:13Z,38a,Move In,Cows,37,52730,growing,2018-02-23,07:23,07
38A,2018-02-23T21:23:53Z,38a,Move Out,Cows,37,52730,growing,2018-02-23,21:23,21
39A,2018-02-23T21:23:53Z,39a,Move In,Cows,37,52730,growing,2018-02-23,21:23,21
39A,2018-02-24T07:24:28Z,39a,Move Out,Cows,37,52730,growing,2018-02-24,07:24,07
39B,2018-02-24T07:24:28Z,39b,Move In,Cows,37,52730,growing,2018-02-24,07:24,07
32,2018-02-25T07:25:58Z,Subdivision 1,Move In,Cows,37,52730,growing,2018-02-25,07:25,07
39B,2018-02-25T07:25:58Z,39b,Move Out,Cows,37,52730,growing,2018-02-25,07:25,07
19,2018-02-25T17:56:57Z,19,Move In,Cows,37,52730,growing,2018-02-25,17:56,17
32,2018-02-25T17:56:57Z,Subdivision 1,Move Out,Cows,37,52730,growing,2018-02-25,17:56,17
17,2018-02-27T08:57:47Z,17,Move In,Cows,37,52730,growing,2018-02-27,08:57,08
19,2018-02-27T08:57:47Z,19,Move Out,Cows,37,52730,growing,2018-02-27,08:57,08
14,2018-02-28T15:58:43Z,14,Move In,Cows,37,52730,growing,2018-02-28,15:58,15
17,2018-02-28T15:58:43Z,17,Move Out,Cows,37,52730,growing,2018-02-28,15:58,15
14,2018-03-01T15:59:05Z,14,Move Out,Cows,37,52730,growing,2018-03-01,15:59,15
18,2018-03-01T15:59:05Z,18,Move In,Cows,37,52730,growing,2018-03-01,15:59,15
18,2018-03-02T16:00:35Z,18,Move Out,Cows,37,52730,growing,2018-03-02,16:00,16
19,2018-03-02T16:00:35Z,19,Move In,Cows,37,52730,growing,2018-03-02,16:00,16
18,2018-03-07T16:04:32Z,18,Move In,Cows,37,52730,growing,2018-03-07,16:04,16
19,2018-03-07T16:04:32Z,19,Move Out,Cows,37,52730,growing,2018-03-07,16:04,16
18,2018-03-10T08:04:54Z,18,Move Out,Cows,37,52730,growing,2018-03-10,08:04,08
26,2018-03-10T08:04:54Z,26,Move In,Cows,37,52730,growing,2018-03-10,08:04,08
26,2018-03-10T17:06:45Z,26,Move Out,Cows,37,52730,growing,2018-03-10,17:06,17
27,2018-03-10T17:06:45Z,27,Move In,Cows,37,52730,growing,2018-03-10,17:06,17
27,2018-03-11T08:07:08Z,27,Move Out,Cows,37,52730,growing,2018-03-11,08:07,08
28,2018-03-11T08:07:08Z,28,Move In,Cows,37,52730,growing,2018-03-11,08:07,08
18,2018-03-12T16:11:51Z,18,Move In,Cows,37,52730,growing,2018-03-12,16:11,16
28,2018-03-12T16:11:51Z,28,Move Out,Cows,37,52730,growing,2018-03-12,16:11,16
18,2018-03-13T16:15:05Z,18,Move Out,Cows,38,52730,growing,2018-03-13,16:15,16
19,2018-03-13T16:15:05Z,19,Move In,Cows,43,52730,growing,2018-03-13,16:15,16
19,2018-03-17T08:15:24Z,19,Move Out,Cows,43,58938,growing,2018-03-17,08:15,08
31,2018-03-17T08:15:24Z,31,Move In,Cows,43,58938,growing,2018-03-17,08:15,08
30B,2018-03-18T08:16:33Z,Subdivision 1,Move In,Cows,43,58943,growing,2018-03-18,08:16,08
