Point,S.ACE,S.obs,prop,n
TOKA-142,22,13,0.5909090909090909,2
TOKA-143,20,18,0.9,4
TOKA-144,19,16,0.8421052631578947,6
TOKA-145,15,12,0.8,2
TOKA-146,18,15,0.8333333333333334,4
TOKA-147,7,5,0.7142857142857143,2
TOKA-148,22,15,0.6818181818181818,4
TOKA-149,32,18,0.5625,4
TOKA-150,33,10,0.30303030303030304,2
TOKA-151,15,9,0.6,2
TOKA-152,27,15,0.5555555555555556,2
TOKA-153,28,17,0.6071428571428571,4
TOKA-154,28,25,0.8928571428571429,8
TOKA-155,22,17,0.7727272727272727,6
TOKA-156,16,13,0.8125,4
TOKA-158,33,17,0.5151515151515151,4
TOKA-159,31,16,0.5161290322580645,2
TOKA-161,24,17,0.7083333333333334,4
TOKA-162,21,15,0.7142857142857143,2
TOKA-163,24,14,0.5833333333333334,2
TOKA-164,36,18,0.5,4
TOKA-165,23,12,0.5217391304347826,2
TOKA-166,14,11,0.7857142857142857,2
TOKA-167,14,13,0.9285714285714286,2
TOKA-168,16,13,0.8125,4
TOKA-169,25,21,0.84,8
TOKA-170,45,23,0.5111111111111111,12
TOKA-172,36,25,0.6944444444444444,6
TOKA-173,11,10,0.9090909090909091,2
TOKA-174,25,15,0.6,4
TOKA-176,30,14,0.4666666666666667,2
TOKA-178,30,10,0.3333333333333333,1
