field,season,animal.days,ndays,area_ha,area_acres,ADA
1,dormant,0,0,4.738691973481826,11.709544801072266,0
1,growing,174.33333333333334,97.91666666666666,4.738691973481826,11.709544801072266,14.888139231285002
1,total,174.33333333333334,97.91666666666666,4.738691973481826,11.709544801072266,14.888139231285002
10,dormant,0,0,7.740187503377486,19.126390330220936,0
10,growing,303.5833333333333,110.125,7.740187503377486,19.126390330220936,15.872484462144014
10,total,303.5833333333333,110.125,7.740187503377486,19.126390330220936,15.872484462144014
11,dormant,197.70833333333334,200,5.400336007719634,13.344500291875601,14.815716513094323
11,growing,268,94.625,5.400336007719634,13.344500291875601,20.083179897201827
11,total,465.70833333333337,294.625,5.400336007719634,13.344500291875601,34.89889641029615
12A,dormant,0,0,13.502660211596377,33.36574851586523,0
12A,growing,47,1,13.502660211596377,33.36574851586523,1.4086301698777044
12A,total,47,1,13.502660211596377,33.36574851586523,1.4086301698777044
12B,dormant,0,0,9.149855303593542,22.60974994794482,0
12B,growing,399.7916666666667,136,9.149855303593542,22.60974994794482,17.682268383645123
12B,total,399.7916666666667,136,9.149855303593542,22.60974994794482,17.682268383645123
14,dormant,0,0,8.115810629416911,20.054573855820657,0
14,growing,39,1,8.115810629416911,20.054573855820657,1.94469352878723
14,total,39,1,8.115810629416911,20.054573855820657,1.94469352878723
15,dormant,0,0,2.292254874702564,5.66427640813377,0
15,growing,130.75,95.91666666666667,2.292254874702564,5.66427640813377,23.083266171870783
15,total,130.75,95.91666666666667,2.292254874702564,5.66427640813377,23.083266171870783
16B,dormant,135,45,6.0352014969338,14.913284658998265,9.05233173555396
16B,growing,172,4,6.0352014969338,14.913284658998265,11.533341174187267
16B,total,307,49,6.0352014969338,14.913284658998265,20.585672909741227
17,dormant,0,0,2.584319568186106,6.385982868966277,0
17,growing,50.375,1.2916666666666667,2.584319568186106,6.385982868966277,7.888370675844671
17,total,50.375,1.2916666666666667,2.584319568186106,6.385982868966277,7.888370675844671
18,dormant,0,0,3.560153962658697,8.797318449427772,0
18,growing,183.625,12,3.560153962658697,8.797318449427772,20.872837678388695
18,total,183.625,12,3.560153962658697,8.797318449427772,20.872837678388695
19,dormant,0,0,7.486560401840698,18.49966508096846,0
19,growing,419.7083333333333,19.583333333333332,7.486560401840698,18.49966508096846,22.687347662585985
19,total,419.7083333333333,19.583333333333332,7.486560401840698,18.49966508096846,22.687347662585985
23,dormant,0,0,1.53375792006755,3.789992508382919,0
