id,S.ACE,min,max
grassland_2011,64,61,68
grassland_2012,69,65,73
grassland_2013,62,58,66
grassland_2014,64,60,68
grassland_2015,47,44,50
grassland_2016,45,41,48
grassland_2017,52,48,55
grassland_2018,49,46,53
grassland_2019,56,53,60
riparian_2010,46,43,50
riparian_2011,54,50,57
riparian_2012,48,45,51
riparian_2013,42,38,45
riparian_2014,45,42,48
riparian_2015,40,37,43
riparian_2016,54,51,57
riparian_2017,49,45,52
riparian_2018,46,43,49
riparian_2019,50,46,53
