Point Name,Year,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,CalciumA,CalciumB,CECA,CECB,ClayA,ClayB,MagnesiumA,MagnesiumB,Olsen PA,Olsen PB,Organic CarbonA,Organic CarbonB,pHA,pHB,PotassiumA,PotassiumB,SandA,SandB,SiltA,SiltB,SodiumA,SodiumB,TextureA,TextureB,Total CarbonA,Total CarbonB,Total NitrogenA,Total NitrogenB,richA,richB
TOKA-018,2015,1.3802477167111071,0.03738384770370858,207,410.21214023965695,3.3,2.4,34.8,1.6431676725154984,11,9.8,34,32,35,38.1,9.1,8.7,2.8,1,3.3,2.4,5.9,5.8,0.77,0.54,25,21.9,40,40,0.58,0.73,Clay Loam,Clay Loam,3.3,2.4,0.25,0.21,919.5,1081.3
TOKA-018,2018,1.1624450232850572,0.1653767016453189,111.2,180.15881882383667,3.1,2.2,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-020,2015,NaN,NA,39.2,20.992855927672156,4.6,2,36.6,0.8944271909999159,19,18,45,40,35,31.2,10,11,9.6,4,4.6,2,5.7,5.7,1.1,0.6,30,33.8,35,35,0.22,0.21,Clay Loam,Clay Loam,4.6,2,0.35,0.18,NA,NA
TOKA-020,2018,1.0119341741163126,0.13245039448439933,101.2,146.16839603689988,3.9,2.6,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-022,2015,1.192468870040314,0.18528933735466144,47,26.953663943887108,3.1,2.1,33.8,3.6331804249169903,15,13,44,41,41.2,43.8,12,12,11,2.2,3.1,2.1,5.9,5.2,0.82,0.58,22.5,21.2,36.2,35,0.56,0.62,Clay,Clay,3.1,2.1,0.29,0.19,1328.4,1105.8
TOKA-022,2018,1.0492349008313666,0.15908979283190736,211.6,340.5235674663356,3.6,2.1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-029,2015,1.0262893652626714,0.07963472782456733,23.6,14.24078649513432,3.7,2.7,31.4,5.727128425310541,11,9.5,33,33,36.5,40,8.8,8.8,3.5,2.5,3.7,2.7,5.3,5.2,1,0.77,20,20,43.8,40,0.86,0.65,Clay Loam,Clay Loam,3.7,2.7,0.29,0.22,1531.6,1082.5
TOKA-029,2018,1.129157714925968,0.04320359746793826,38,26.115129714401192,3.7,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-030,2015,1.1571742309747985,0.08918186796686602,24,15.905973720586866,4.5,2.8,34.4,3.1304951684997055,9.2,8,33,36,35,37.5,6.3,6.4,8.3,3.5,4.5,2.8,5.5,5.6,1.1,0.85,22.5,21.2,42.5,41.2,0.31,0.42,Clay Loam,Clay Loam,4.5,2.8,0.32,0.24,1634.3,835.9
TOKA-030,2018,1.1567013308623124,0.11772858014819373,150.2,237.84385634276956,4.1,2.5,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
