Label,Estimate,se,cv,lcl,ucl,df,species
TOKA-001,0.29556291796826395,0.5438753924685318,1.8401340608192613,6.114618896886848e-8,1428665.301158691,1.0016079137720357,GRSP
TOKA-002,0,0,0,0,0,0,GRSP
TOKA-003,0,0,0,0,0,0,GRSP
TOKA-004,0,0,0,0,0,0,GRSP
TOKA-005,0,0,0,0,0,0,GRSP
TOKA-006,2.470061528734777,1.5769117542182072,0.6384099083661038,0.0018445639742364255,3307.667308346535,1.0134772049917458,GRSP
TOKA-007,0.4433443769523959,0.6662423036873302,1.5027647542688196,4.82326040844156e-7,407513.2170581198,1.0024123542009058,GRSP
TOKA-008,0,0,0,0,0,0,GRSP
TOKA-009,0.6650165654285939,0.8162224167079428,1.22737155604823,3.7850079589048074e-6,116841.77076932951,1.0036196192690394,GRSP
TOKA-010,0.22167218847619796,0.47096262701381003,2.12459050569792,1.4319739415438361e-8,3431526.0716860457,1.001205814443065,GRSP
TOKA-011,0.5911258359365279,0.7694647062696702,1.3016935811147519,2.08592457158035e-6,167517.9240287303,1.0032171169899067,GRSP
TOKA-012,0,0,0,0,0,0,GRSP
TOKA-013,0.8060806853679926,0.8988033138596192,1.11502896691948,9.935632783797633e-6,65397.55297548113,1.0043882564966935,GRSP
TOKA-014,0.5320132523428751,0.7299197434868919,1.3719954160398786,1.2213930327475343e-6,231733.84248946226,1.002895173191176,GRSP
TOKA-015,1.773377507809584,1.334888906288782,0.7527381510198535,4.3065023670465623e-4,7302.603173446551,1.0096668241067688,GRSP
TOKA-016,2.6600662617143755,1.6368585007390677,0.615345010121716,0.0025217930097852586,2805.921219249331,1.0145176431028373,GRSP
TOKA-017,0.6650165654285939,0.8162224167079428,1.22737155604823,3.7850079589048074e-6,116841.77076932951,1.0036196192690394,GRSP
TOKA-018,0.22167218847619796,0.47096262701381003,2.12459050569792,1.4319739415438361e-8,3431526.0716860457,1.001205814443065,GRSP
TOKA-019,0.4433443769523959,0.6662423036873302,1.5027647542688196,4.82326040844156e-7,407513.2170581198,1.0024123542009058,GRSP
TOKA-020,0.14778145898413197,0.38450076739229777,2.601820079700144,1.9200039344447594e-9,11374643.159673702,1.0008037957046247,GRSP
TOKA-021,1.5517053193333856,1.2482996796216022,0.8044695497711338,2.338307922711074e-4,10297.14424974403,1.0084559325546254,GRSP
TOKA-022,1.1083609423809897,1.0543723875224398,0.9512897353252351,4.7541104602589974e-5,25840.03861216028,1.0060363253182205,GRSP
TOKA-023,1.5073708816381461,1.2302637504054623,0.8161652619085121,2.0444608722106934e-4,11113.770900167183,1.0082138412785868,GRSP
TOKA-024,1.1400283978775896,1.0693746685353391,0.9380245882700925,5.446953827011029e-5,23860.39590646804,1.0062090581941205,GRSP
TOKA-025,1.2191970366190887,1.1060012050343853,0.9071554242794071,7.51916590375934e-5,19768.700852279308,1.006640955142426,GRSP
TOKA-026,0,0,0,0,0,0,GRSP
TOKA-027,0,0,0,0,0,0,GRSP
