Label,Estimate,se,cv,lcl,ucl,df,species
TOKA_2011,0.7646629919593799,0.124415941811631,0.16270689587425485,0.55387399966354,1.0556723941319908,68.70615056819139,GRSP
TOKA_2012,0.8409154990792806,0.10275435596442588,0.12219343807663403,0.6598306088555767,1.0716975949603664,75.23489971065811,GRSP
TOKA_2013,0.7415792822289798,0.11027039453566127,0.14869670334400298,0.5520434894333225,0.9961893263079094,67.28972949379792,GRSP
TOKA_2014,0.7242066207222169,0.10054655202564144,0.13883683074503123,0.5496381782960676,0.9542190666663979,66.75362906323363,GRSP
TOKA_2015,1.2599717227871223,0.24663651658931804,0.19574766014886855,0.8429497977984004,1.8833016466335541,22.19867002113872,GRSP
TOKA_2016,0.5665561998847275,0.1881481566712033,0.3320908970892636,0.28956173754061054,1.1085232819574637,21.762058892828385,GRSP
TOKA_2017,0.46063482338453937,0.1149959287911649,0.24964662451315786,0.27895729622015986,0.7606341307059582,30.900781240466323,GRSP
TOKA_2018,0.6031082127805164,0.13961283151769577,0.2314888581504092,0.3787518859217379,0.9603635779610842,32.30475726354519,GRSP
TOKA_2011,0.48027686510712414,0.11104972799301954,0.23122023162254604,0.30474331032828694,0.7569185584702097,72.44535624143832,SAVS
TOKA_2012,0.35470613065422224,0.06517110162638749,0.1837326620382498,0.24681572914580416,0.5097585942319148,79.44933069713339,SAVS
TOKA_2013,0.2111094415479284,0.06112096827183277,0.2895226657020757,0.11976629980904631,0.372118002991956,63.73244237017688,SAVS
TOKA_2014,0.18349806004341926,0.048946998574301355,0.2667439566539261,0.1086661929543832,0.309862130293211,62.93165316929599,SAVS
TOKA_2015,0.09704224329219288,0.054490454596360254,0.561512726290655,0.03263712764272646,0.28854245650137295,20.68869335831415,SAVS
TOKA_2016,0.04705078462651776,0.027856871390769082,0.5920596566431963,0.015078999001556426,0.14681188941934792,21.648789695639685,SAVS
TOKA_2017,0.1552675892675086,0.0616385718927306,0.3969828615457813,0.07116356285777133,0.33876921431163376,31.047020776590752,SAVS
TOKA_2018,0.1377373775760157,0.061988204603067684,0.4500463541122459,0.05740674528351392,0.3304765857709438,31.629559197058835,SAVS
TOKA_2011,0.03337579252738924,0.01176329493420276,0.35244990585764896,0.016886068374390863,0.06596819947269193,77.24604875371033,WCSP
TOKA_2012,0.04668295118593882,0.017036238248286387,0.3649349026892242,0.023074302667282318,0.09444696825091199,73.2692613555685,WCSP
TOKA_2013,0.043183591208683446,0.014005600784240714,0.3243269119642935,0.023005742852389443,0.08105900173030041,77.16678187181351,WCSP
TOKA_2014,0.024614646988949558,0.00805463990263507,0.32722955182949004,0.013037547330705014,0.04647199592239871,74.0088747950667,WCSP
TOKA_2015,0.08615126446132346,0.030994753190166573,0.35977130903379,0.04205699566135745,0.17647576227382233,26.041774035244057,WCSP
TOKA_2016,0.09696679116858918,0.050886601464271694,0.524783803310546,0.035012941355580765,0.26854523571850947,23.6876569610965,WCSP
TOKA_2017,0.04922929397789912,0.018402362278565017,0.3738091853770344,0.023657402500063464,0.10244249703896756,36.95476914054556,WCSP
TOKA_2018,0.12704333929780418,0.04174431554067284,0.328583267500702,0.06655188589964532,0.24251769640720294,41.223844819104905,WCSP
