mo,diff.TMAX,diff.TMIN,diff.PRCP
01,-0.705193548387097,2.5031612903225806,1.020629225
02,-1.6372857142857171,4.89292857142857,1.0486995150000002
03,-1.9582903225806412,2.351451612903226,0.8038959200000003
04,-3.09,2.285333333333334,0.034684105000000076
05,-3.0544516129032324,0.9076129032258109,-0.048189104999999996
06,-1.5180000000000007,0.19533333333333402,-0.03677169499999999
07,-2.3604516129032405,-1.3798709677419438,0.010944850000000006
08,-1.603322580645166,-1.4422580645161283,-0.064015815
09,1.0493678160919515,1.899000000000001,0.05110219
10,-0.22225806451612584,4.183935483870968,-0.05141740999999998
11,-0.9646666666666661,4.721333333333334,0.9422825100000001
12,-1.7986206896551735,3.159741935483872,0.23771641000000002
