date/time,Water Temp,"Water Depth, ft","Streamflow, ft3/s"
2017-10-01T00:03:33Z,13.511,0.966,0.05
2017-10-01T00:18:33Z,13.457,0.967,0.05
2017-10-01T00:33:33Z,13.414,0.968,0.05
2017-10-01T00:48:33Z,13.37,0.967,0.05
2017-10-01T01:03:33Z,13.324,0.969,0.05
2017-10-01T01:18:33Z,13.277,0.969,0.05
2017-10-01T01:33:33Z,13.226,0.969,0.05
2017-10-01T01:48:33Z,13.165,0.969,0.05
2017-10-01T02:03:33Z,13.102,0.969,0.05
2017-10-01T02:18:33Z,13.042,0.97,0.05
2017-10-01T02:33:33Z,12.986,0.969,0.05
2017-10-01T02:48:33Z,12.928,0.97,0.05
2017-10-01T03:03:33Z,12.871,0.97,0.05
2017-10-01T03:18:33Z,12.817,0.971,0.05
2017-10-01T03:33:33Z,12.771,0.97,0.05
2017-10-01T03:48:33Z,12.728,0.97,0.05
2017-10-01T04:03:33Z,12.685,0.972,0.05
2017-10-01T04:18:33Z,12.646,0.972,0.05
2017-10-01T04:33:33Z,12.597,0.972,0.05
2017-10-01T04:48:33Z,12.552,0.972,0.05
2017-10-01T05:03:33Z,12.502,0.971,0.05
2017-10-01T05:18:33Z,12.453,0.973,0.05
2017-10-01T05:33:33Z,12.411,0.974,0.05
2017-10-01T05:48:33Z,12.372,0.974,0.05
2017-10-01T06:03:33Z,12.338,0.975,0.05
2017-10-01T06:18:33Z,12.3,0.974,0.05
2017-10-01T06:33:33Z,12.26,0.975,0.05
2017-10-01T06:48:33Z,12.217,0.975,0.05
2017-10-01T07:03:33Z,12.171,0.975,0.05
2017-10-01T07:18:33Z,12.127,0.976,0.05
2017-10-01T07:33:33Z,12.083,0.975,0.05
2017-10-01T07:48:33Z,12.045,0.975,0.05
2017-10-01T08:03:33Z,12.014,0.974,0.05
2017-10-01T08:18:33Z,11.994,0.975,0.05
2017-10-01T08:33:33Z,11.979,0.975,0.05
2017-10-01T08:48:33Z,11.977,0.975,0.05
2017-10-01T09:03:33Z,11.992,0.976,0.05
2017-10-01T09:18:33Z,12.036,0.977,0.05
2017-10-01T09:33:33Z,12.099,0.977,0.05
2017-10-01T09:48:33Z,12.186,0.976,0.05
2017-10-01T10:03:33Z,12.29,0.977,0.05
