date/time,Water Temp,"Water Depth, ft","Streamflow, ft3/s"
2015-10-01T00:00:00Z,14.53,0.646,NA
2015-10-01T00:15:00Z,14.519,0.646,NA
2015-10-01T00:30:00Z,14.507,0.646,NA
2015-10-01T00:45:00Z,14.502,0.647,NA
2015-10-01T01:00:00Z,14.497,0.646,NA
2015-10-01T01:15:00Z,14.495,0.647,NA
2015-10-01T01:30:00Z,14.494,0.647,NA
2015-10-01T01:45:00Z,14.489,0.647,NA
2015-10-01T02:00:00Z,14.486,0.649,NA
2015-10-01T02:15:00Z,14.48,0.648,NA
2015-10-01T02:30:00Z,14.472,0.648,NA
2015-10-01T02:45:00Z,14.46,0.649,NA
2015-10-01T03:00:00Z,14.448,0.649,NA
2015-10-01T03:15:00Z,14.435,0.651,NA
2015-10-01T03:30:00Z,14.427,0.649,NA
2015-10-01T03:45:00Z,14.417,0.649,NA
2015-10-01T04:00:00Z,14.405,0.65,NA
2015-10-01T04:15:00Z,14.391,0.649,NA
2015-10-01T04:30:00Z,14.367,0.649,NA
2015-10-01T04:45:00Z,14.335,0.65,NA
2015-10-01T05:00:00Z,14.309,0.65,NA
2015-10-01T05:15:00Z,14.293,0.65,NA
2015-10-01T05:30:00Z,14.276,0.65,NA
2015-10-01T05:45:00Z,14.265,0.649,NA
2015-10-01T06:00:00Z,14.261,0.65,NA
2015-10-01T06:15:00Z,14.257,0.651,NA
2015-10-01T06:30:00Z,14.256,0.65,NA
2015-10-01T06:45:00Z,14.255,0.65,NA
2015-10-01T07:00:00Z,14.253,0.65,NA
2015-10-01T07:15:00Z,14.244,0.651,NA
2015-10-01T07:30:00Z,14.235,0.65,NA
2015-10-01T07:45:00Z,14.22,0.652,NA
2015-10-01T08:00:00Z,14.214,0.652,NA
2015-10-01T08:15:00Z,14.211,0.652,NA
2015-10-01T08:30:00Z,14.22,0.653,NA
2015-10-01T08:45:00Z,14.24,0.653,NA
2015-10-01T09:00:00Z,14.268,0.652,NA
2015-10-01T09:15:00Z,14.308,0.651,NA
