date,datatype,station,value,fl_a,fl_M,fl_Q,fl_S
2012-01-01T00:00:00Z,TMAX,GHCND:USC00043714,16.14,NA,NA,NA,NA
2012-01-01T00:00:00Z,TMIN,GHCND:USC00043714,5.07,NA,NA,NA,NA
2012-02-01T00:00:00Z,PRCP,GHCND:USC00043714,22.7,NA,NA,NA,NA
2012-02-01T00:00:00Z,TAVG,GHCND:USC00043714,9.94,NA,NA,NA,NA
2012-02-01T00:00:00Z,TMAX,GHCND:USC00043714,15.17,NA,NA,NA,NA
2012-02-01T00:00:00Z,TMIN,GHCND:USC00043714,4.71,NA,NA,NA,NA
2012-03-01T00:00:00Z,PRCP,GHCND:USC00043714,127.6,NA,NA,NA,NA
2012-03-01T00:00:00Z,TAVG,GHCND:USC00043714,10.21,NA,NA,NA,NA
2012-03-01T00:00:00Z,TMAX,GHCND:USC00043714,14.92,NA,NA,NA,NA
2012-03-01T00:00:00Z,TMIN,GHCND:USC00043714,5.5,NA,NA,NA,NA
2012-04-01T00:00:00Z,PRCP,GHCND:USC00043714,61.3,NA,NA,NA,NA
2012-04-01T00:00:00Z,TAVG,GHCND:USC00043714,11.99,NA,NA,NA,NA
2012-04-01T00:00:00Z,TMAX,GHCND:USC00043714,16.49,NA,NA,NA,NA
2012-04-01T00:00:00Z,TMIN,GHCND:USC00043714,7.49,NA,NA,NA,NA
2012-05-01T00:00:00Z,PRCP,GHCND:USC00043714,4,NA,NA,NA,NA
2012-05-01T00:00:00Z,TAVG,GHCND:USC00043714,12.1,NA,NA,NA,NA
2012-05-01T00:00:00Z,TMAX,GHCND:USC00043714,16.44,NA,NA,NA,NA
2012-05-01T00:00:00Z,TMIN,GHCND:USC00043714,7.77,NA,NA,NA,NA
2012-06-01T00:00:00Z,PRCP,GHCND:USC00043714,10.3,NA,NA,NA,NA
2012-06-01T00:00:00Z,TAVG,GHCND:USC00043714,13.29,NA,NA,NA,NA
2012-06-01T00:00:00Z,TMAX,GHCND:USC00043714,17.93,NA,NA,NA,NA
2012-06-01T00:00:00Z,TMIN,GHCND:USC00043714,8.64,NA,NA,NA,NA
2012-07-01T00:00:00Z,PRCP,GHCND:USC00043714,5.8,NA,NA,NA,NA
2012-07-01T00:00:00Z,TAVG,GHCND:USC00043714,14.69,NA,NA,NA,NA
2012-07-01T00:00:00Z,TMAX,GHCND:USC00043714,17.94,NA,NA,NA,NA
2012-07-01T00:00:00Z,TMIN,GHCND:USC00043714,11.44,NA,NA,NA,NA
2012-08-01T00:00:00Z,PRCP,GHCND:USC00043714,2.6,NA,NA,NA,NA
2012-08-01T00:00:00Z,TAVG,GHCND:USC00043714,14.41,NA,NA,NA,NA
2012-08-01T00:00:00Z,TMAX,GHCND:USC00043714,18.03,NA,NA,NA,NA
2012-08-01T00:00:00Z,TMIN,GHCND:USC00043714,10.79,NA,NA,NA,NA
2012-09-01T00:00:00Z,PRCP,GHCND:USC00043714,1.2,NA,NA,NA,NA
2012-09-01T00:00:00Z,TAVG,GHCND:USC00043714,13.35,NA,NA,NA,NA
2012-09-01T00:00:00Z,TMAX,GHCND:USC00043714,16.82,NA,NA,NA,NA
2012-09-01T00:00:00Z,TMIN,GHCND:USC00043714,9.88,NA,NA,NA,NA
2012-10-01T00:00:00Z,PRCP,GHCND:USC00043714,64,NA,NA,NA,NA
2012-10-01T00:00:00Z,TAVG,GHCND:USC00043714,14.39,NA,NA,NA,NA
2012-10-01T00:00:00Z,TMAX,GHCND:USC00043714,19.13,NA,NA,NA,NA
2012-10-01T00:00:00Z,TMIN,GHCND:USC00043714,9.65,NA,NA,NA,NA
2012-11-01T00:00:00Z,PRCP,GHCND:USC00043714,108.3,NA,NA,NA,NA
2012-11-01T00:00:00Z,TAVG,GHCND:USC00043714,13.66,NA,NA,NA,NA
2012-11-01T00:00:00Z,TMAX,GHCND:USC00043714,18.23,NA,NA,NA,NA
2012-11-01T00:00:00Z,TMIN,GHCND:USC00043714,9.09,NA,NA,NA,NA
2012-12-01T00:00:00Z,PRCP,GHCND:USC00043714,195.3,NA,NA,NA,NA
2012-12-01T00:00:00Z,TAVG,GHCND:USC00043714,10.44,NA,NA,NA,NA
2012-12-01T00:00:00Z,TMAX,GHCND:USC00043714,14.47,NA,NA,NA,NA
2012-12-01T00:00:00Z,TMIN,GHCND:USC00043714,6.41,NA,NA,NA,NA
2013-01-01T00:00:00Z,PRCP,GHCND:USC00043714,10.1,NA,NA,NA,NA
2013-01-01T00:00:00Z,TAVG,GHCND:USC00043714,10.43,NA,NA,NA,NA
2013-01-01T00:00:00Z,TMAX,GHCND:USC00043714,14.86,NA,NA,NA,NA
2013-01-01T00:00:00Z,TMIN,GHCND:USC00043714,6.01,NA,NA,NA,NA
2013-02-01T00:00:00Z,PRCP,GHCND:USC00043714,17.9,NA,NA,NA,NA
2013-02-01T00:00:00Z,TAVG,GHCND:USC00043714,8.97,NA,NA,NA,NA
2013-02-01T00:00:00Z,TMAX,GHCND:USC00043714,14.3,NA,NA,NA,NA
2013-02-01T00:00:00Z,TMIN,GHCND:USC00043714,3.65,NA,NA,NA,NA
2013-03-01T00:00:00Z,PRCP,GHCND:USC00043714,34,NA,NA,NA,NA
2013-03-01T00:00:00Z,TAVG,GHCND:USC00043714,10.43,NA,NA,NA,NA
2013-03-01T00:00:00Z,TMAX,GHCND:USC00043714,14.57,NA,NA,NA,NA
2013-03-01T00:00:00Z,TMIN,GHCND:USC00043714,6.3,NA,NA,NA,NA
2013-04-01T00:00:00Z,PRCP,GHCND:USC00043714,19.4,NA,NA,NA,NA
2013-04-01T00:00:00Z,TAVG,GHCND:USC00043714,11.44,NA,NA,NA,NA
2013-04-01T00:00:00Z,TMAX,GHCND:USC00043714,16.25,NA,NA,NA,NA
2013-04-01T00:00:00Z,TMIN,GHCND:USC00043714,6.63,NA,NA,NA,NA
2013-05-01T00:00:00Z,PRCP,GHCND:USC00043714,6.2,NA,NA,NA,NA
2013-05-01T00:00:00Z,TAVG,GHCND:USC00043714,13.22,NA,NA,NA,NA
2013-05-01T00:00:00Z,TMAX,GHCND:USC00043714,17.35,NA,NA,NA,NA
2013-05-01T00:00:00Z,TMIN,GHCND:USC00043714,9.09,NA,NA,NA,NA
2013-06-01T00:00:00Z,PRCP,GHCND:USC00043714,13.8,NA,NA,NA,NA
2013-06-01T00:00:00Z,TAVG,GHCND:USC00043714,14.23,NA,NA,NA,NA
2013-06-01T00:00:00Z,TMAX,GHCND:USC00043714,18.39,NA,NA,NA,NA
2013-06-01T00:00:00Z,TMIN,GHCND:USC00043714,10.06,NA,NA,NA,NA
2013-07-01T00:00:00Z,PRCP,GHCND:USC00043714,0.8,NA,NA,NA,NA
2013-07-01T00:00:00Z,TAVG,GHCND:USC00043714,15.35,NA,NA,NA,NA
2013-07-01T00:00:00Z,TMAX,GHCND:USC00043714,18.53,NA,NA,NA,NA
2013-07-01T00:00:00Z,TMIN,GHCND:USC00043714,12.16,NA,NA,NA,NA
2013-08-01T00:00:00Z,PRCP,GHCND:USC00043714,6.9,NA,NA,NA,NA
2013-08-01T00:00:00Z,TAVG,GHCND:USC00043714,16.55,NA,NA,NA,NA
2013-08-01T00:00:00Z,TMAX,GHCND:USC00043714,19.82,NA,NA,NA,NA
2013-08-01T00:00:00Z,TMIN,GHCND:USC00043714,13.28,NA,NA,NA,NA
2013-09-01T00:00:00Z,PRCP,GHCND:USC00043714,21.9,NA,NA,NA,NA
2013-09-01T00:00:00Z,TAVG,GHCND:USC00043714,15.68,NA,NA,NA,NA
2013-09-01T00:00:00Z,TMAX,GHCND:USC00043714,20.05,NA,NA,NA,NA
2013-09-01T00:00:00Z,TMIN,GHCND:USC00043714,11.31,NA,NA,NA,NA
2013-10-01T00:00:00Z,PRCP,GHCND:USC00043714,0,NA,NA,NA,NA
2013-10-01T00:00:00Z,TAVG,GHCND:USC00043714,12.97,NA,NA,NA,NA
