Point,SampleYear,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,Olsen_P_(ppm)_A,pH_A,CEC_(Sum_of_Cations_me/100g)_A,Calcium_(cmol_(+)/kg)_A,Magnesium_(cmol_(+)/kg)_A,Potassium_(cmol_(+)/kg)_A,Sodium_(cmol_(+)/kg)_A,Total_Nitrogen_(%)_A,Olsen_P_(ppm)_B,pH_B,CEC_(Sum_of_Cations_me/100g)_B,Calcium_(cmol_(+)/kg)_B,Magnesium_(cmol_(+)/kg)_B,Potassium_(cmol_(+)/kg)_B,Sodium_(cmol_(+)/kg)_B,Total_Nitrogen_(%)_B,richA,richB
TOKA-022,2018,1.0492349008313666,0.15908979283190736,8.3512233390073,11.793260568007927,3.6,2.1,40,0,42.7,6.6,28,14.24,12.2,1.159,0.38,0.35,11.3,5.9,33.9,12.05,12.3,0.674,0.6,0.23,NA,NA
TOKA-022,2021,1.0550151652910924,0.07865838444221925,4.509214177979424,1.956255255751234,3.7,2.4,40,0,13.4,6.2,26.1,11.915,8.2,0.631,0.36,0.3054,6.4,5.8,30.7,11.965,10.1,0.479,0.61,0.2328,NA,NA
TOKA-022,2024,1.0955572867864611,0.08603473436655111,29.605859934914932,20.21577068619812,3.8,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-029,2015,1.0262893652626714,0.07963472782456733,0.9866666666666667,0.6919577700666101,3.7,2.7,31.4,5.727128425310541,3.5,5.3,33,11,8.8,1,0.86,0.29,2.5,5.2,33,9.5,8.8,0.77,0.65,0.22,1531.6,1082.5
TOKA-029,2018,1.129157714925968,0.04320359746793826,2.1634431135501497,1.2614201627968793,3.7,2.3,40,0,6.1,6,26.2,8.9,8.8,0.746,0.38,0.3,3.3,5.8,28.6,8.73,9.6,0.682,0.45,0.24,NA,NA
TOKA-030,2015,1.1571742309747985,0.08918186796686602,0.9366666666666666,0.6877297595874575,4.5,2.8,34.4,3.1304951684997055,8.3,5.5,33,9.2,6.3,1.1,0.31,0.32,3.5,5.6,36,8,6.4,0.85,0.42,0.24,1634.3,835.9
TOKA-030,2018,1.1567013308623124,0.11772858014819373,6.286067752644464,8.709368890043772,4.1,2.5,40,0,14.8,5.9,23.2,7.08,5.9,0.879,0.25,0.35,3.9,5.8,22.2,6.01,6.1,0.7,0.32,0.23,NA,NA
TOKA-034,2015,0.9080627252761888,0.029029990041220286,3.36,1.8622939856233465,5,2.9,37.2,2.16794833886788,34,5.5,47,18,10,0.92,0.51,NA,21,5.7,49,20,10,0.72,0.69,0.27,1219.2,903.9
TOKA-034,2018,1.0299779048048023,0.19830214102567148,70.49651418500831,132.2649300596136,4.9,2.9,40,0,42.4,6.2,34.9,15.11,10.4,0.995,0.42,NA,27.4,6.3,37.8,18.84,12.5,0.882,0.63,NA,NA,NA
TOKA-035,2015,NA,NA,0.8933333333333333,1.020933668538537,3.5,1.8,33.4,3.5777087639996634,11,6.3,46,23,10,1.1,0.22,0.28,4.4,5.9,38,22,10,0.49,0.31,0.16,NA,NA
TOKA-035,2018,NA,NA,0.8545837766852556,0.6154516432810504,4.1,2.3,32.4,10.430723848324238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-041,2015,1.1867276165101857,0.05929476612382998,2.9,2.3562269745411952,3.8,2.7,37.8,0.44721359549995793,10,5.6,32,11,5.1,0.99,0.35,0.36,4.6,5.7,30,10,4.8,0.63,0.39,0.27,1122.1,811.4
TOKA-041,2018,1.126024791786289,0.19790272653631039,2.4079934316098996,1.9737681181366693,3,2.2,40,0,8.5,6.1,21.6,8.78,5.1,0.667,0.2,0.32,6,6.2,19.6,8.48,5.1,0.446,0.27,0.26,NA,NA
TOKA-045,2015,NA,NA,0.36333333333333334,0.5087293539354256,3.7,2.1,35,3.7416573867739413,8.4,6.1,43,17,9.5,1.2,0.22,0.34,2.9,5.7,44,18,12,0.69,0.14,0.22,NA,NA
TOKA-045,2018,0.8930136332726644,0.0703416419172822,0.867080491723701,0.6304228384216611,4.6,2.3,38.4,3.5777087639996634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-055,2015,1.2403866626625466,0.07873506354700976,17.71,11.428154803913982,3.2,2.5,38,1.224744871391589,6.6,5.1,27,8.4,4.7,1.1,0.14,0.31,3.9,5,26,8.1,5.1,0.75,0.15,0.26,1166.1,1266.4
TOKA-055,2018,1.2064810573082987,0.13184487661705266,4.288182471066037,4.813556251069238,3.4,2.5,35.8,9.391485505499118,12.8,5.7,23,6.94,4.4,0.751,0.19,0.37,4.4,5.6,23,6.69,4.8,0.59,0.19,0.29,NA,NA
TOKA-057,2015,1.2386645351436685,0.1237616796448297,0.4,0.2776388541492947,3.1,2.2,35,2.5495097567963922,5.5,5.6,28,11,6.3,0.72,0.44,0.3,1,5.8,28,10,6.4,0.48,0.52,0.23,1434.2,810.4
TOKA-057,2018,1.136623704037741,0.10781838145186984,7.309833008324407,11.393498701895453,3,2.1,40,0,6,5.8,22.6,8.36,5.8,0.526,0.33,0.33,2,6.1,25.1,8.86,7.1,0.369,0.5,0.26,NA,NA
TOKA-057,2021,1.092868021891353,0.0890794708933841,3.004154015218695,3.2242798832983484,3.1,2.2,40,0,7.8,5.9,21.1,7.915,4.9,0.469,0.34,0.3112,5.9,5.9,21.2,9.01,5.6,0.408,0.42,0.2602,NA,NA
TOKA-057,2024,1.2226232552597243,0.08133211553785535,67.12250722273711,96.05794017719064,2.9,1.9,36.8,4.381780460041329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-060,2015,1.1168129235305937,0.18036684907486542,1.7333333333333334,1.973680994149426,4.3,2.4,36.4,0.8944271909999159,12,5.8,39,18,8,1,0.26,0.34,6.2,5.7,37,17,8.4,0.67,0.36,0.23,1625.7,1294.5
TOKA-060,2018,1.2329598885120638,0.05122193536653287,2.3754982812520233,1.1998335954171098,4,2.8,40,0,11.4,6.1,29.5,13.66,7.6,0.977,0.28,0.35,5.9,6.1,37,17,11.5,0.431,0.43,0.28,NA,NA
TOKA-060,2021,1.1169468480219409,0.11501838754623037,4.541059638526728,3.578598252924161,3.7,2.5,39.6,0.8944271909999159,14.1,6.3,26.8,14.145,6.5,0.703,0.22,0.3298,10.3,6.2,27,14.175,7.2,0.523,0.28,0.2824,NA,NA
TOKA-060,2024,1.1137678688242763,0.14766082483804033,11.161723921289852,11.10024999705478,3.7,1.9,38.2,4.024922359499621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-061,2015,1.1026094475432973,0.10119492997410222,3.336666666666667,4.113247567987558,3.6,2.2,35.2,1.4832396974191326,5.7,5.9,34,13,7.5,1,0.36,0.27,3.1,5.9,33,12,7.4,0.76,0.33,0.22,1231,1061.3
TOKA-061,2018,1.053908033224509,0.08892725815210434,4.439779613690363,2.7403882389291345,2.7,2.1,38.4,3.5777087639996634,6.9,6.4,24.9,10.7,7.7,0.849,0.24,NA,3,6.2,25.7,10.45,8.2,0.626,0.32,NA,NA,NA
TOKA-061,2021,1.0834059551164443,0.01967869559323539,1.237192656809149,0.6201883736079777,3.2,2.2,38,2.7386127875258306,9.4,6.2,19.3,9.415,5.2,0.664,0.21,0.2793,5.2,6.2,21.1,10.615,6.2,0.554,0.26,0.24,NA,NA
