Point,SampleYear,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,Olsen_P_(ppm)_A,pH_A,CEC_(Sum_of_Cations_me/100g)_A,Calcium_(cmol_(+)/kg)_A,Magnesium_(cmol_(+)/kg)_A,Potassium_(cmol_(+)/kg)_A,Sodium_(cmol_(+)/kg)_A,Total_Nitrogen_(%)_A,Olsen_P_(ppm)_B,pH_B,CEC_(Sum_of_Cations_me/100g)_B,Calcium_(cmol_(+)/kg)_B,Magnesium_(cmol_(+)/kg)_B,Potassium_(cmol_(+)/kg)_B,Sodium_(cmol_(+)/kg)_B,Total_Nitrogen_(%)_B,richA,richB
TOKA-137,2024,0.974861250296778,0.11294274370523424,19.14295798257248,22.430276040244173,3.7,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-147,2015,NA,NA,0.7833333333333333,0.5177408189003023,3.4,1.7,37.6,1.816590212458495,12,6,45,18,13,0.93,0.28,0.3,2.8,6.3,40,17,13,0.41,0.24,0.15,NA,NA
TOKA-147,2018,1.0424801747281827,0.09027397846837827,5.458860531037945,5.366566703959207,2.5,1.7,36,8.94427190999916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-154,2015,1.1474236135739841,0.15445754486874957,1.3466666666666667,1.3430582844968253,2.6,1.9,37.4,2.3021728866442674,8.3,5.7,40,14,11,0.71,0.24,0.29,3.3,5.4,47,15,11,0.57,0.33,0.24,NA,NA
TOKA-154,2018,1.0477017132943143,0.08668456815095904,7.824425755966124,10.268680148741677,2.1,1.7,40,0,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA
TOKA-161,2015,NA,NA,0.33666666666666667,0.5575741106695045,5,2.2,38,0.7071067811865476,4.7,5.6,56,15,8.9,1.1,0.2,0.41,1,5.3,34,10,8.7,0.68,0.38,0.25,NA,NA
TOKA-161,2018,0.8774340849110224,0.15093647179494205,0.4191181062257988,0.2518801047490781,6.2,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA
TOKA-169,2015,1.1310016377394507,0.07578073722288925,6.193333333333333,8.175833290863995,3.4,2,37,1,12,5.2,32,10,8.4,1.2,0.27,0.33,4.7,5,33,8.8,8.5,0.79,0.37,0.22,1327.1,1408.1
TOKA-169,2018,0.998145026614649,0.12989901508977844,2.2365643040294425,2.6399066929150172,2.3,2.1,40,0,9.5,5.7,25.9,6.75,7.2,0.749,0.22,0.28,7.9,5.8,25.9,7.01,6.2,0.631,0.23,0.25,NA,NA
TOKA-169,2021,0.873142107045771,0.05869793722332344,2.3662998081117905,3.3007425565152295,2.7,2,36.6,7.602631123499285,15.3,5.7,21.8,6.455,6.4,0.79,0.25,0.2798,8.6,5.5,22.3,5.895,5.7,0.538,0.26,0.2527,NA,NA
TOKA-169,2024,1.0937117580720648,0.13754028939418764,5.7132851017597766,8.142922319089386,2.2,1.6,35.2,10.183319694480774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-170,2015,1.3035635020553906,0.08367198505265391,0.4766666666666667,0.37631251787724407,3.2,2.3,36.8,1.6431676725154984,5.4,5.4,33,13,7.7,0.81,0.31,0.27,2.2,5.3,34,13,8.2,0.54,0.35,0.2,1407.3,955.2
TOKA-170,2018,1.1328596801365927,0.09198821524061422,3.3878520585053478,3.3279948349151818,2.9,2.1,40,0,8.2,6,25.8,10.45,6.3,0.728,0.2,0.3,3,5.9,28.2,10.89,7.2,0.513,0.29,0.23,NA,NA
