Pasture,season,tgd,ADA
57,Total,1.0048611111111112,8.88068692312193
58A,Dormant,0.4263888888888889,3.22982876453185
58A,Growing,84.76944444444445,23.8712165039721
58A,Total,85.19583333333334,27.1010452685039
59,Dormant,4.0625,24.2509426967579
59,Growing,3.1770833333333335,16.9701187607221
59,Total,7.239583333333334,41.22106145748
60,Dormant,2.0430555555555556,20.4304625404959
60,Growing,0.9611111111111111,7.1614286539078
60,Total,3.004166666666667,27.5918911944037
61,Dormant,1.1444444444444444,14.8417038257748
61,Growing,0.375,4.08643958040014
61,Total,1.5194444444444444,18.928143406175
62,Dormant,2.002083333333333,24.859151170994
62,Growing,3.5229166666666667,11.2222059103008
62,Total,5.525,36.0813570812948
65,Dormant,2.002083333333333,21.5104188638447
65,Growing,1.023611111111111,9.23661859882308
65,Total,3.0256944444444445,30.7470374626678
66,Dormant,1.0013888888888889,16.1265656677806
66,Growing,0.9145833333333333,12.3938136039033
66,Total,1.9159722222222222,28.5203792716839
67,Dormant,2.002083333333333,19.1240162519795
67,Growing,1.1715277777777777,9.40101498295423
67,Total,3.1736111111111107,28.5250312349338
68,Dormant,2.848611111111111,20.5551796051648
68,Growing,0.8347222222222223,5.05348613859088
68,Total,3.683333333333333,25.6086657437556
6A,Dormant,1.4180555555555554,9.54579400717125
6A,Growing,2.982638888888889,7.84849723227348
6A,Total,4.4006944444444445,17.3942912394447
6B,Dormant,2.589583333333333,11.8460884600839
6B,Growing,0.9263888888888889,1.67144973754268
6B,Total,3.515972222222222,13.5175381976265
7,Dormant,3.505555555555556,16.3037770514396
7,Growing,1.8972222222222221,4.67734598431318
7,Total,5.402777777777779,20.9811230357528
8,Dormant,4.0048611111111105,22.4216914048615
8,Growing,0.904861111111111,2.35516193570463
8,Total,4.909722222222221,24.7768533405662
9,Dormant,6.754861111111111,47.7025958366601
9,Growing,2.2173611111111113,7.43439274178383
9,Total,8.972222222222223,55.136988578444
29,Dormant,0,0
29,Growing,0.9319444444444445,8.42030980568563
29,Total,0.9319444444444445,8.42030980568563
63,Dormant,0,0
63,Growing,39.015277777777776,23.7383952130117
63,Total,39.015277777777776,23.7383952130117
64,Dormant,0,0
64,Growing,10.002083333333333,6.63774613779881
64,Total,10.002083333333333,6.63774613779881
