species,Label,Estimate,se,cv,lcl,ucl,df
GRSP,TOKA-003,0,0,0,0,0,0
GRSP,TOKA-006,1.4726390121395567,1.2207860339413212,0.8289784691821214,2.4705767487842736e-4,8777.973245083485,1.0241542245019168
GRSP,TOKA-007,0.1714182977093664,0.41431611801250057,2.4169888719520407,4.284850133828443e-9,6857703.7403459065,1.00279683859078
GRSP,TOKA-009,0.5999640419827824,0.7764653914976896,1.2941865464663502,2.6820260901256526e-6,134210.79421917704,1.0098059547143057
GRSP,TOKA-013,0.1999880139942608,0.4475645934957598,2.2379570883113216,9.292630724261231e-9,4303970.202641222,1.0032633565800235
GRSP,TOKA-014,0.23998561679311295,0.49036224441411885,2.043298473328303,2.344212294524485e-8,2456820.843491626,1.0039166633097347
GRSP,TOKA-015,0.8999460629741735,0.9521284592683098,1.0579839153045263,2.1514027529283446e-5,37645.34163397949,1.0147268018589282
GRSP,TOKA-016,0.857091488546832,0.9290210906843506,1.0839228986621634,1.6788809876383732e-5,43755.68162057575,1.014023094356763
GRSP,TOKA-018,0.2181687425391936,0.4675005567912566,2.142839305714342,1.4434021312596181e-8,3297598.028319094,1.0035602879280376
GRSP,TOKA-021,1.1999280839655648,1.1007569817217044,0.9173524617274427,9.093752513423143e-5,15833.14923695103,1.0196595612674602
GRSP,TOKA-022,0.6922662022878258,0.8343698404634993,1.205273112721731,5.618888923571104e-6,85289.54769325304,1.0113187927242693
GRSP,TOKA-023,0.9749415682220213,0.9913074106943962,1.0167864854734021,3.2250771728803425e-5,29472.505943115313,1.0159588749636281
GRSP,TOKA-024,0.3599784251896694,0.6008617408236188,1.669160424008828,1.889715913633965e-7,685735.1714461707,1.0058778542968947
GRSP,TOKA-025,0.5999640419827824,0.776465391497682,1.2941865464663378,2.68202609012288e-6,134210.79421931578,1.0098059547142668
GRSP,TOKA-029,0.26665068532568104,0.5169432581842507,1.9386534017449384,4.018413847040262e-8,1769419.2457809078,1.0043523187967314
GRSP,TOKA-030,0.046151080152521715,0.2148684337780746,4.655761751793671,8.556485764219029e-12,248924880.83732432,1.0007526123012793
GRSP,TOKA-031,0.499970034985652,0.7085251272646718,1.4171351834815558,1.041092024700563e-6,240103.68915797817,1.0081683196229878
GRSP,TOKA-032,0.8999460629741735,0.9521284592683098,1.0579839153045263,2.1514027529283446e-5,37645.34163397949,1.0147268018589282
GRSP,TOKA-033,0,0,0,0,0,0
GRSP,TOKA-034,0,0,0,0,0,0
GRSP,TOKA-036,0.428545744273416,0.6557765769458322,1.5302370533574612,4.671833976878427e-7,393103.5559991501,1.006999390691807
GRSP,TOKA-039,0,0,0,0,0,0
GRSP,TOKA-041,0,0,0,0,0,0
GRSP,TOKA-042,0,0,0,0,0,0
GRSP,TOKA-044,0,0,0,0,0,0
GRSP,TOKA-046,0.4799712335862259,0.6941536497067362,1.4462401101003335,8.420512017935617e-7,273584.77083055314,1.0078409514464857
GRSP,TOKA-047,0.5999640419827823,0.77646539149768945,1.2941865464663502,2.6820260901256517e-6,134210.794219177,1.0098059547143057
GRSP,TOKA-053,0.0749955052478478,0.2739367741284342,3.652709228681349,7.863038899670561e-11,71528652.96921793,1.0012231381897194
GRSP,TOKA-055,0.4499730314870867,0.6720295131024416,1.4934884228094623,6.020440411634134e-7,336313.81630222057,1.0073499984587841
GRSP,TOKA-057,0.5999640419827824,0.7764653914976806,1.2941865464663354,2.682026090122318e-6,134210.79421934392,1.009805954714259
GRSP,TOKA-060,0,0,0,0,0,0
GRSP,TOKA-061,0.3817952994435888,0.6188567163570461,1.620912350830248,2.564069348473049e-7,568501.2020600262,1.0062346392719672
GRSP,TOKA-064,0,0,0,0,0,0
